"171";"Semantic Analysis Method (SAM): A Tool for Identifying Potential Access Points in Unstructured Text";"Marcia Lei Zeng";"Sammy Davidson";"2014"
"172";"Meaningful Concept Displays for KOS Mapping";"Dagobert Soergel";"Jae-wook Ahn";"2014"
"175";"The missing link: a terminology mapping effort in economics";"Andreas Oskar Kempf";"Joachim Neubert";"2015"
"181";"KOS Design for Healthcare Decision-making Based on Consumer Criteria and User Stories";"Joseph Busch";"Vivian Bliss";"2016"
"184";"National Library as a Public Sector Metadata Curator - The Finto Ontology Infrastructure";"Matias Frosterus";"Mikko Lappalainen";"2016"
"186";"Linking Bioinformatics Research Data and Publications through Metadata and KOS";"Jian Qin";"Marcia Lei Zeng";"2016"
"189";"New Applications of Knowledge Organization Systems: introduction to a special issue";"Douglas Tudhope";"Traugott Koch";"2004"
"190";"KOS at your Service: Programmatic Access to Knowledge Organisation Systems";"Ceri Binding";"Douglas Tudhope";"2004"
"192";"Reengineering Thesauri for New Applications: the AGROVOC Example";"Anita Liang";"Boris Lauser";"2004"
"194";"Vocabulary Mapping for Terminology Services";"Andrew Houghton";"Carol Hickey";"2004"
"195";"Augmenting thesaurus relationships: possibilities for retrieval";"Douglas Tudhope";"Harith Alani";"2001"
"195";"Augmenting thesaurus relationships: possibilities for retrieval";"Christopher Jones";"Harith Alani";"2001"
"198";"Networked Knowledge Organization Systems: introduction to a special issue";"Linda Hill";"Traugott Koch";"2001"
"217";"Browsing and understanding a domain ontology: a user study";"Caterina Caracciolo";"Stephan Stipdonk";"2004"
"220";"Knowledge Structures for a Domain-Specific Digital Library for Natural Resource Managers";"Mathew J. Weaver";"Timothy Tolle";"2004"
"220";"Knowledge Structures for a Domain-Specific Digital Library for Natural Resource Managers";"Marianne Lykke Nielsen";"Timothy Tolle";"2004"
"220";"Knowledge Structures for a Domain-Specific Digital Library for Natural Resource Managers";"Lois Delcambre";"Timothy Tolle";"2004"
"221";"SKOS: Standards and Best Practices for USING Knowledge Organisation Systems ON THE Semantic Web";"Alistair Miles";"Brian Matthews";"2004"
